# The format of each line is
# <NearAS, NearBR, FarAS, DstPrfx>|(FarIPs in IXP),(FarIPs not in IXP)
<AS6939, sea1, AS57976, 2a04:e802:8::/48>|(2001:504:16::e278, 2001:504:12::5:7976:1);()
<AS6939, sea1, AS42, 2001:678:3::/48>|(2001:504:16::2a, 2001:504:12::6);()
<AS6939, sea1, AS714, 2403:300:402::/48>|(2001:504:12::714:1, 2001:504:12::714:2);()
<AS6939, lax2, AS16509, 2600:9000:10cd::/48>|(2001:504:13::211:146, 2001:504:13::146);()
<AS6939, lax2, AS714, 2403:300:a07::/48>|(2001:504:13::211:35, 2001:504:13::210:139);()
<AS6939, lax2, AS10310, 2406:6e00:f048::/48>|(2001:504:13::195, 2001:504:13::211:120);()
<AS6939, lax2, AS200981, 2a03:8520:1206::/48>|(2001:504:13::211:156, 2001:504:13::211:155);()
<AS6939, lax2, AS54113, 2a04:4e40:b800::/48>|(2001:504:13::211:175, 2001:504:13::211:174);()
<AS6939, lax2, AS18403, 2001:df6:1e00::/48>|(2001:504:13::211:74, 2001:504:13::211:73);()
<AS6939, lax2, AS2635, 2620:115:c00b::/48>|(2001:504:13::210:145, 2001:504:13::211:81);()
<AS6939, lax2, AS4651, 2001:c38:5000::/48>|(2001:504:13::247);(2001:470:1:24d::2)
<AS6939, chi1, AS22822, 2607:f4e8:b::/48>|(2001:504:38:1:0:a502:2822:1, 2001:504:13:4::4);()
<AS6939, sea1, AS6315, 2607:7c80:53::/48>|(2001:504:16:1::18ab, 2001:504:16::18ab);()
<AS6939, sea1, AS16713, 2001:5e0:1d::/48>|(2001:504:16::4149, 2001:504:16::224:0:4149);()
<AS6939, sea1, AS36459, 2620:112:3000::/48>|(2001:504:16::8e6b, 2001:504:16::346:0:8e6b);()
<AS6939, sea1, AS15169, 2001:4860:4864::/48>|(2001:504:16::3b41, 2001:504:16::69:0:3b41);()
<AS6939, sea1, AS33438, 2001:1938:7007::/48>|(2001:504:16::479:0:829e, 2001:504:16::829e);()
<AS6939, sea1, AS6456, 2620:0:cf0::/48>|(2001:504:16:1::1938, 2001:504:16:1:0:297:0:1938);()
<AS6939, nyc5, AS714, 2403:300::/48>|(2001:504:17:115::67, 2001:504:17:115::175);()
<AS6939, nyc5, AS16509, 2600:9000:110b::/48>|(2001:504:17:115::83, 2001:504:17:115::37);()
<AS6939, nyc5, AS33438, 2001:1938:7006::/48>|(2001:504:17:115::81, 2001:504:17:115::82);()
<AS6939, tor1, AS54113, 2a04:4e40:6600::/48>|(2001:504:1a::35:30, 2001:504:1a::35:31);()
<AS6939, tor1, AS16509, 2600:9000:10f4::/48>|(2001:504:1a::35:36, 2001:504:1a::35:37);()
<AS6939, tor1, AS10310, 2001:43f8:1140::/48>|(2001:504:1a::35:41, 2001:504:1a::35:40);()
<AS6939, tor1, AS13895, 2001:1978:802::/48>|(2001:504:1a::34:206, 2001:504:1a::35:9);()
<AS6939, ywg1, AS3856, 2620:0:870::/48>|(2001:504:2c::16, 2001:504:26::3856:1);()
<AS6939, ywg1, AS42, 2001:500:14::/48>|(2001:504:2c::15, 2001:504:26::42:1);()
<AS6939, msp1, AS10310, 2406:6e00:f048::/48>|(2001:504:27::2846:0:2, 2001:504:27::2846:0:1);()
<AS6939, msp1, AS714, 2403:300::/48>|(2001:504:27::2ca:0:1, 2001:504:27::2ca:0:2);()
<AS6939, msp1, AS62708, 2620:116:c000::/48>|(2001:504:27::f4f4:0:1);(2001:470:1:134::2)
<AS6939, ywg1, AS393891, 2620:135:4001::/48>|(2001:504:26::39:3891:1, 2001:504:2c::42);()
<AS6939, sfo1, AS10310, 2406:6e00:f048::/48>|(2001:504:30::ba01:310:2, 2001:504:30::ba01:310:1);()
<AS6939, sfo1, AS26073, 2602:fe19:4::/48>|(2001:504:30::ba02:6073:1, 2001:504:30::ba02:6073:2);()
<AS6939, nyc6, AS4230, 2600:1419:19::/48>|(2001:504:1::a500:4230:1, 2001:504:36::1086:0:1);()
<AS6939, nyc6, AS6774, 2001:9b8:2::/48>|(2001:504:1::a500:6774:1, 2001:504:36::1a76:0:1);()
<AS6939, nyc6, AS8075, 2001:df0:d8::/48>|(2001:504:1::a500:8075:1, 2001:504:36::1f8b:0:1);()
<AS6939, nyc6, AS8359, 2a02:28:1::/48>|(2001:504:1::a500:8359:1, 2001:504:36::20a7:0:1);()
<AS6939, nyc6, AS13335, 2400:cb00:15::/48>|(2001:504:1::a501:3335:1, 2001:504:36::3417:0:1);()
<AS6939, nyc6, AS14413, 2620:119:50e6::/48>|(2001:504:1::a501:4413:1, 2001:504:36::384d:0:1);()
<AS6939, nyc6, AS15169, 2001:4860:4864::/48>|(2001:504:1::a501:5169:1, 2001:504:36::3b41:0:2);()
<AS6939, nyc6, AS23393, 2610:1c8:8::/48>|(2001:504:1::a502:3393:1, 2001:504:36::5b61:0:1);()
<AS6939, nyc6, AS29802, 2604:880:65::/48>|(2001:504:1::a502:9802:1, 2001:504:36::746a:0:1);()
<AS6939, nyc6, AS33353, 2604:8540:fc0c::/48>|(2001:504:1::a503:3353:1, 2001:504:36::8249:0:1);()
<AS6939, nyc6, AS36086, 2607:fb58:1::/48>|(2001:504:1::a503:6086:1, 2001:504:36::8cf6:0:1);()
<AS6939, nyc6, AS3303, 2001:678:e0::/48>|(2001:504:1::a500:3303:1, 2001:504:36::ce7:0:1);()
<AS6939, chi1, AS10310, 2001:43f8:1140::/48>|(2001:504:41:110::39, 2001:504:38:1:0:a501:310:1);()
<AS6939, chi1, AS13335, 2400:cb00:4::/48>|(2001:504:41:110::38, 2001:504:38:1:0:a501:3335:1);()
<AS6939, chi1, AS23467, 2620:16:4000::/48>|(2001:504:38:1:0:a502:3467:2, 2001:504:38:1:0:a502:3467:1);()
<AS6939, chi1, AS23473, 2607:f750:8200::/48>|(2001:504:38:1:0:a502:3473:1);(2001:470:1:43e::2)
<AS6939, mia1, AS62955, 2620:0:57f::/48>|(2001:504:0:6:0:6:2955:1, 2001:504:40:108::1:117);()
<AS6939, mia1, AS23393, 2610:1c8:9::/48>|(2001:504:0:6:0:2:3393:1, 2001:504:40:108::1:32);()
<AS6939, mia1, AS33132, 2604:200:4::/48>|(2001:504:0:6:0:3:3132:1, 2001:504:40:108::1:40);()
<AS6939, mia1, AS1916, 2001:12f0:b01::/48>|(2001:504:0:6::1916:1, 2001:504:40:108::1:51);()
<AS6939, mia1, AS52320, 2001:49f0:d0e6::/48>|(2001:504:0:6:0:5:2320:1, 2001:504:40:108::1:60);()
<AS6939, mia1, AS2635, 2620:115:c00f::/48>|(2001:504:0:6::2635:1, 2001:504:40:108::1:90);()
<AS6939, chi1, AS3856, 2620:0:870::/48>|(2001:504:38:1:0:a500:3856:1, 2001:504:41:110::41);()
<AS6939, chi1, AS42, 2001:500:14::/48>|(2001:504:38:1:0:a500:42:1, 2001:504:41:110::42);()
<AS6939, yxe1, AS393891, 2620:135:4001::/48>|(2001:504:69:8000::1600);(2001:470:1:785::2)
<AS6939, pao1, AS19679, 2620:100:601a::/48>|(2001:504:d::1:9679:2, 2001:504:d::1:9679:1);()
<AS6939, pao1, AS54113, 2a04:4e40:b400::/48>|(2001:504:d::5:4113:2, 2001:504:d::5:4113:1);()
<AS6939, pao1, AS10310, 2001:43f8:1140::/48>|(2001:504:d::1:310:1, 2001:504:d::87);()
<AS6939, ams1, AS1103, 2001:67c:262c::/48>|(2001:7f8:1::a500:1103:2, 2001:7f8:1::a500:1103:1);()
<AS6939, ams1, AS1200, 2001:67c:1a8::/48>|(2001:7f8:1::a500:1200:2, 2001:7f8:1::a500:1200:1);()
<AS6939, ams1, AS2611, 2001:6a8:9200::/48>|(2001:7f8:1::a500:2611:2, 2001:7f8:1::a500:2611:1);()
<AS6939, ams1, AS2686, 2a06:f787:2::/48>|(2001:7f8:1::a500:2686:1, 2001:7f8:1::a500:2686:2);()
<AS6939, ams1, AS3209, 2001:678:658::/48>|(2001:7f8:1::a500:3209:2, 2001:7f8:1::a500:3209:1);()
<AS6939, ams1, AS3333, 2001:67c:2e8::/48>|(2001:7f8:1::a500:3333:1, 2001:7f8:1::a500:3333:2);()
<AS6939, ams1, AS6774, 2001:9b8:2::/48>|(2001:7f8:1::a500:6774:2, 2001:7f8:1::a500:6774:1);()
<AS6939, ams1, AS714, 2403:300:402::/48>|(2001:7f8:1::a500:714:1, 2001:7f8:1::a500:714:2);()
<AS6939, ams1, AS8075, 2001:df0:d7::/48>|(2001:7f8:1::a500:8075:1, 2001:7f8:1::a500:8075:2);()
<AS6939, ams1, AS8218, 2001:67c:25a8::/48>|(2001:7f8:b6::201a:1, 2001:7f8:1::a500:8218:2);()
<AS6939, ams1, AS9150, 2a07:3506:c1::/48>|(2001:7f8:1::a500:9150:2, 2001:7f8:1::a500:9150:1);()
<AS6939, ams1, AS13030, 2001:67c:2648::/48>|(2001:7f8:1::a501:3030:2, 2001:7f8:1::a501:3030:1);()
